datetime;watts
2018-11-17 00:00:09;264.82
2018-11-17 00:00:22;261.44
2018-11-17 00:00:36;260.68
2018-11-17 00:00:50;261.04
2018-11-17 00:01:04;260.85
2018-11-17 00:01:17;262.07
2018-11-17 00:01:31;260.66
2018-11-17 00:01:45;260.68
2018-11-17 00:01:59;260.25
2018-11-17 00:02:13;263.87
2018-11-17 00:02:26;261.82
2018-11-17 00:02:40;260.85
2018-11-17 00:02:54;261.44
2018-11-17 00:03:07;263.23
2018-11-17 00:03:21;260.45
2018-11-17 00:03:35;260.06
2018-11-17 00:03:49;259.48
2018-11-17 00:04:03;260.47
2018-11-17 00:04:17;261.25
2018-11-17 00:04:30;259.48
2018-11-17 00:04:44;259.09
2018-11-17 00:04:58;259.10
2018-11-17 00:05:12;260.64
2018-11-17 00:05:26;260.28
2018-11-17 00:05:40;259.50
2018-11-17 00:05:54;258.90
2018-11-17 00:06:08;260.47
2018-11-17 00:06:21;258.90
2018-11-17 00:06:35;257.18
2018-11-17 00:06:49;257.38
2018-11-17 00:07:03;259.09
2018-11-17 00:07:17;259.33
2018-11-17 00:07:31;257.18
2018-11-17 00:07:45;257.16
2018-11-17 00:07:59;257.77
2018-11-17 00:08:13;259.89
2018-11-17 00:08:29;224.48
2018-11-17 00:08:52;156.33
2018-11-17 00:09:15;157.76
2018-11-17 00:09:38;156.98
2018-11-17 00:10:01;157.83
2018-11-17 00:10:23;157.55
2018-11-17 00:10:46;156.27
2018-11-17 00:11:09;157.83
2018-11-17 00:11:32;156.91
2018-11-17 00:11:55;156.26
2018-11-17 00:12:18;157.62
2018-11-17 00:12:41;155.70
2018-11-17 00:13:04;157.12
2018-11-17 00:13:27;157.34
2018-11-17 00:13:50;155.99
2018-11-17 00:14:13;157.47
2018-11-17 00:14:36;155.92
2018-11-17 00:14:59;156.12
2018-11-17 00:15:22;158.48
2018-11-17 00:15:45;156.07
2018-11-17 00:16:08;157.75
2018-11-17 00:16:31;155.98
2018-11-17 00:16:54;155.99
2018-11-17 00:17:17;156.83
2018-11-17 00:17:40;156.13
2018-11-17 00:18:03;158.93
2018-11-17 00:18:25;156.84
2018-11-17 00:18:49;155.90
2018-11-17 00:19:11;157.48
2018-11-17 00:19:34;156.05
2018-11-17 00:19:58;156.12
2018-11-17 00:20:20;158.19
2018-11-17 00:20:43;156.61
2018-11-17 00:21:06;157.56
2018-11-17 00:21:29;156.69
2018-11-17 00:21:52;156.26
2018-11-17 00:22:15;157.62
2018-11-17 00:22:38;155.91
2018-11-17 00:23:01;155.99
2018-11-17 00:23:24;157.83
2018-11-17 00:23:47;156.76
2018-11-17 00:24:10;157.40
2018-11-17 00:24:33;156.34
2018-11-17 00:24:56;155.84
2018-11-17 00:25:19;157.76
2018-11-17 00:25:42;156.20
2018-11-17 00:26:05;156.62
2018-11-17 00:26:28;156.62
2018-11-17 00:26:51;156.05
2018-11-17 00:27:14;157.12
2018-11-17 00:27:37;157.04
2018-11-17 00:28:00;157.11
2018-11-17 00:28:11;316.48
2018-11-17 00:28:24;268.12
2018-11-17 00:28:38;269.60
2018-11-17 00:28:51;268.14
2018-11-17 00:29:04;269.58
2018-11-17 00:29:18;268.14
2018-11-17 00:29:31;265.06
2018-11-17 00:29:45;267.30
2018-11-17 00:29:59;264.45
2018-11-17 00:30:05;588.91
2018-11-17 00:30:14;392.03
2018-11-17 00:30:24;370.22
2018-11-17 00:30:34;354.37
2018-11-17 00:30:44;350.74
2018-11-17 00:30:54;349.31
2018-11-17 00:31:05;351.12
2018-11-17 00:31:15;352.15
2018-11-17 00:31:25;351.12
2018-11-17 00:31:35;350.06
2018-11-17 00:31:46;348.97
2018-11-17 00:31:56;349.38
2018-11-17 00:32:06;352.53
2018-11-17 00:32:16;349.65
2018-11-17 00:32:27;349.34
2018-11-17 00:32:37;350.36
2018-11-17 00:32:47;350.36
2018-11-17 00:32:58;349.68
2018-11-17 00:33:08;353.95
2018-11-17 00:33:18;351.08
2018-11-17 00:33:28;351.49
2018-11-17 00:33:38;351.77
2018-11-17 00:33:49;352.15
2018-11-17 00:33:59;352.22
2018-11-17 00:34:09;356.54
2018-11-17 00:34:19;353.60
2018-11-17 00:34:29;353.63
